,Description
6530,The @celtics prepare for Thursday’s #NBALondon action!
6531,The @sixers check out Tower Bridge at #NBALondon! ??????
6532,"@thierryhenry & @jjredick surprise @frenchtouch20, a huge Henry growing up! ?? x ?? #NBALondon ????"
6533,The @trailblazers @miamiheat @dallasmavs and @lakers each WIN on Tuesday!
6534,Give it & go!
6535,Using the window!
6536,@original00g wanted that one!
6537,@wayne_elli drives baseline for the @miamiheat win in a frantic finish!
6538,@russwest44 finds @ygtrece!
6539,@the_1_dragon with the dime!
6540,@kyrieirving checks in from London ahead of Thursday’s @celtics/@sixers #NBALondon action! #GlobalGame????
6541,@quese recovers for the Block of the Week! #Mobil1Blocks
6542,@c_will_21 for the @laclippers W!
6543,@jokara95 notches his first triple-double of the season for the @nuggets
6544,@stephencurry30 pulls up in transition!
6545,@louwillville takes it STRONG!
6546,Bad Boys of The North!
6547,Jamal Crawford droppin’ dimes!
6548,@jimmybutler spins and beats the horn for the @timberwolves!
6549,“That ball will never be the same!”
6550,"With this triple, @kkorv26 passed Paul Pierce (2,143) for 4th most three pointers made in @nbahistory!"
6551,Helping daddy (@jrue_holiday11) get ready for work! #ThisIsWhyWePlay
6552,@stephensonlance is HYPED early!
6553,Eastern Conference Player of the Week @demar_derozan warms up for tonight’s @raptors action in Brooklyn!
6554,The TOP #AssistsOfTheWeek... which was your fave?
6555,"Ahead of Week 13, we check in with the stat leaders for the 2017-18 season!"
6556,There’s just ONE WEEK left to vote for YOUR @nbaallstar starters (link in bio)!
6557,Derek Harper’s @dallasmavs #12 goes to the rafters in Dallas!
6558,10 teams hit the floor on Sunday!
6559,@3jmccollum for the @trailblazers win!
6560,@russwest44 notches his 14th triple-double of the season for the @okcthunder
6561,"Get UP, @stevenadams!"
6562,@shabazznap13r uses his crossover to get to the bucket for the @trailblazers!
6563,@draganbender35 protects the paint for the @suns!
6564,@kporzee steps back!
6565,@jjbarea11 warms up with his son in Dallas! #ThisIsWhyWePlay
6566,@jrich_0 drives for the @miamiheat W!
6567,@spidadmitchell shows off the bounce in Miami!
6568,@stephencurry30 puts up a season-high 45 in 29 minutes of action Saturday!
6569,Swipe through to recap Saturday’s 8 games!
6570,@cediosman lets it fly to @kevinlove!
6571,@kingjames takes flight! #PosterAlert
6572,"Throw it down, @leafsquad!"
6573,@_bigjayy_ with the emphatic denial!
6574,@vicoladipo returns to action with a ?? for the @pacers!
6575,“You never know when something special is going to happen!”
6576,@ygtrece shares his passion for fishing with kids in OKC on today’s #InsideStuff 6:30pm/et @nbatv.
6577,"20 teams in action, 10 winners!"
6578,?? from behind!
6579,"@jeremylamb1, cleared for takeoff!"
6580,@johnwall breaks free in Memphis ??
6581,@zo back!
6582,"Too smooth, @thats_g_!"
6583,@dougmcd03 sends it to OT in Miami!
6584,Kawhi takes it up & under!
6585,@giannis_an34 uses his length to play receiver!
6586,@gmb_chum12 gets into the lane for the @celtics!
6587,@joelembiid gets it to fall!
6588,"Throw it down, @jaytatum0!"
6589,Defense and hustle wins! #NBABreakdown ? ? ? ? ? @timberwolves/@celtics 7pm/et @nbaonespn ????????? ?????????
6590,Triple-Doubles headline tonight’s @warriors and @okcthunder victories!
6591,Cool him off!
6592,@russwest44 notches his 13th triple-double of the season for the @okcthunder with 29p/12r/11a!
6593,NOPE! - @jeramigrant
6594,"With this bucket, @carmeloanthony passes Patrick Ewing for 21st on the all-time scoring list!"
6595,The @warriors improve to 21-0 all-time when @money23green records a triple-double with tonight’s 17p/14r/10a!
6596,???? @g.green14 ????
6597,The Western Conference Player of the Month... @russwest44 warms up for tonight’s @nbaontnt action!
6598,@cp3 with the moves!
6599,@cp3 finishes off the contact @nbaontnt!
6600,The #NBAAllStar First Returns (repost @nbaallstar) VOTE: NBA.com/vote
6601,@russwest44 of the @okcthunder named Western Conference Kia NBA Player of the Month for December!#KiaPOTM
6602,@kingjames of the @cavs named Eastern Conference Kia NBA Player of the Month for December!#KiaPOTM
6603,@jaytatum0 of the @celtics named Eastern Conference Kia NBA Rookie of the Month for December! #KiaROTM
6604,A new look at the full #NIKExNBA City Edition uniforms for this season!
6605,Today is the 2nd of five 2-For-1 Days... your @nbaallstar vote on NBA.com or the NBA app counts DOUBLE until 11:59pm/et! (use link in bio)
6606,Freeze Frame!
6607,Caption that!
6608,Poetry in Motion.... @stephencurry30’s @warriors winner! #PhantomCam
6609,24 teams hit the floor for a thrilling Wednesday around the Association!
6610,@the2kferguson takes FLIGHT twice!
6611,A kiss for MOM after the @ygtrece bucket! #ThisIsWhyWePlay
6612,@jokara95 can pass the rock!
6613,@stephencurry30’s triple wins it for the @warriors in a wild finish in Dallas!
6614,?? @desmith4 ??
6615,@kyrieirving on tonight’s @celtics win & @gmb_chum12 stepping up!
6616,@isaiahthomas shows love to the @celtics. #ThisIsWhyWePlay
6617,@fchwpo has fun on the @celtics break! #PhantomCam
6618,@ygtrece warms up in L.A. for tonight’s @nbaonespn action!
6619,@sdinwiddie_2508 wins it for the @brooklynnets!
6620,@russwest44 debuts his new #NBAKicks in LA!
6621,@kyrieirving dumps it off to @al_horford!
6622,@johnwall sees an opening!
6623,@original00g on the move for the @orlandomagic!
6624,@karltowns rolls for the MONSTER SLAM!
6625,"@bensimmons tosses, @joelembiid FINISHES!"
6626,@bradbeal3 steps back!
6627,@megalodon20 finds a way to get it to @iamamirjohnson!
6628,@kingjames spins to the rim!
6629,@kyrieirving rocks the @nikebasketball #Kyrie4 Fall Foliage... available at the @footlocker House of Hoops Harlem TOMORROW! #NBAKicks
6630,@stephencurry30 liked that one in warmups!
6631,@kyrieirving warms up from the top of the key ahead of tonight’s @nbaonespn action!
6632,The @cavs (vs. Boston 8pm/et ESPN) turn defense into exciting offense! #NBABreakdown
6633,?: 8pm/et ??: @nbaonespn
6634,@kporzee protects the paint for TOP BLOCK of the Week presented by @Mobil1!
6635,@isaiahthomas puts up 17 points in his return to action with the @cavs!
6636,10 teams hit the floor on Tuesday night!
6637,Edwin’s going to Beijing!
6638,Congrats to @spurs Coach Gregg Popovich for moving up to 5th on the NBA’s ALL-TIME COACHING WINS list!
6639,Veteran trickery by Kawhi Leonard!
6640,3 x 23.
6641,@jarrettjack03 whips it to @eneskanter11!
6642,Vince Carter coaches up @skal_lab ahead of tonight’s @sacramentokings action!
6643,"Welcome back, @isaiahthomas! #ThatSLOWgrind"
6644,@isaiahthomas checks in and gets on the board for the @cavs!
6645,???? ?? for @manuginobili in NYC! #ThisIsWhyWePlay
6646,@isaiahthomas arrives ahead of his @cavs debut (7pm/et @nbatv)! #ThatSLOWgrind
6647,@demar_derozan erupts for a @raptors franchise-high 52!
6648,It’s a new year! @demar_derozan #ThisIsWhyWePlay
6649,"The @raptors, @timberwolves, @brooklynnets and @trailblazers each open up 2018 with wins!"
6650,"52 for @demar_derozan, a new @raptors franchise-high and career-high!"
6651,@ebled2 avoids the defense with the scoop!
6652,No Easy Buckets! - @jimmybutler
6653,
6654,?????? the TOP 3 @kumhotireusa HANDLES of the Month for December!
6655,“Those guys have welcomed me with open arms.” - @isaiahthomas on being ready to take the floor with his teammates. (repost @cavs)
6656,The TOP #AssistsOfTheWeek... which was your fave?
6657,"As the calendar turns & we begin Week 12, we check in with the stat leaders for the 2017-18 season!"
6658,2017 wraps up with 8 games on the Sunday schedule!
6659,"Cross, up & under... by @bensimmons!"
6660,You gotta box out @quese!
6661,@therealpjtucker17’s putback puts the @houstonrockets up for good in double-OT!
6662,@russwest44 notches his 12th triple-double of the season for the @okcthunder
6663,@dbook threads the needle to @t.warren12!
6664,@_kw15 sets up @mkg14 in transition for the @hornets!
6665,@jimmybutler wanted that one!
6666,@johnwall’s chasedown sets up the @kellyoubrejr SLAM!
6667,@krisdunn3 splits the defense for the SLAM!
6668,Today is the first of five Power Boost Days... your @nbaallstar vote on NBA.com or the NBA app counts DOUBLE until 11:59pm/et! (use link in bio)
6669,@stephencurry30 puts up 38 including 10/13 from deep in his return to action for the @warriors!
6670,@stephencurry30 creates space for his TENTH triple of the night!
6671,@spidadmitchell cuts for the @utahjazz SLAM!
6672,Back-to-back triples by @stephencurry30 in his return!
6673,@kporzee’s SLAM ties it up late for the @nyknicks!
6674,@kingjames caps his 20-point half with the baseline buzzer beater!
6675,@dwyanewade tosses the #NBABDAY oop to @kingjames!
6676,@antdavis23 hammers it home for the @pelicansnba!
6677,?? @spidadmitchell ??
6678,@ishsmith5 with the magical toss to @andredrummondd!
6679,Countin’ down the TOP 5 DUNKS from the 2017 calendar year! #BESTofNBA2017
6680,?? of the chasedown... we celebrate @kingjames’ 33rd Birthday with his best swats! #NBABDAY
6681,Join us in wishing @kingjames of the @cavs a HAPPY 33rd BIRTHDAY! #NBABDAY
6682,Swipe through to recap tonight’s 9 games!
6683,@blakegriffin32 is back... and @milosteodosic4 knows where to find him!
6684,@desmith4 notches his first career triple-double with 21p/10r/10a for the @dallasmavs!
6685,@malcolmbrogdon takes it strong for the @bucks!
6686,@boogiecousins on the attack for the @pelicansnba!
6687,@johnwall & @bradbeal3 connect in transition for the @washwizards!
6688,@tomasatoransky explodes for the THUNDEROUS @washwizards SLAM!
6689,@tarikbblack rolls for the MONSTER @houstonrockets SLAM!
6690,
6691,"The @celtics, @bucks, @orlandomagic, @spurs and @trailblazers each WIN on Thursday night!"
6692,Another incredible look by @shabazznap13r!
6693,What a look by @shabazznap13r!
6694,@kyrieirving on the @celtics’ 26-point comeback!
6695,@al_horford wins it for the @celtics!
6696,?? @gmb_chum12’s SLAM ignites the Garden crowd!
6697,@giannis_an34 glides to the rim!
6698,It doesn’t count... but ??!
6699,@ebled2 explodes to the rim for the @bucks!
6700,???? @jharden13 READY @nbaontnt!
6701,"@elfrid tosses it, @original00g takes care of the rest!"
6702,@jharden13 and @kyrieirving warm up for tonight’s @houstonrockets/@celtics action 8pm/et @nbaontnt!
6703,"@littlechrisp learning from one of the best, his father @cp3! #ThisIsWhyWePlay"
6704,Showcasing @rajonrondo’s behind-the-back wizardry! #NBAvault (repost @nbahistory)
6705,20 teams hit the floor Wednesday night around the Association!
6706,Vince Carter caps his 24-point night off the @sacramentokings bench with the slick jumper!
6707,LeBron James has recorded his 7th triple-double of the season and the 62nd of his career!
6708,?? Which @kingjames dime did you like better?
6709,A new career-high & @pelicansnba franchise-high 25 assists for @rajonrondo tonight!
6710,@stevenadams throws down the MONSTER SLAM!
6711,The @pelicansnba celebrate @rajonrondo’s historic 25-assist performance!
6712,@russwest44 ELEVATES for the PUTBACK SLAM!
6713,@masfresco beats the buzzer to cap 15-0 @raptors run @nbatv!
6714,"Following the reveal of the Association, Icon and Statement Editions, @nike unveils the fourth #NIKExNBA uniform category, The City Edition!"
6715,Just like coach drew it up! #ThisIsWhyWePlay
6716,"16 teams in action, 8 winners!"
6717,@tysonchandler for the @suns win!
6718,Here he comes! ??
6719,"Get UP, @manuginobili!"
6720,@giannis_an34 droppin’ dimes from the ground!
6721,@jjbarea11 seals the @dallasmavs W!
6722,@greenranger14 on the attack!
6723,?? ?? ??
6724,@andredrummondd breaks free with the handles!
6725,@ishsmith5 ????
6726,"#NBAXmas 2017, as heard around the world! #GlobalGame????"
6727,David West protects the paint for the Block of the Week! #NBABreakdown
6728,70+ countries. 32 Teams. 1 Global Event. Are you ready? The #JrNBAWorldChampionship tips off August 2018! jrnba.com/worldchampionship (repost @jrnba)
6729,?? some of the best #NBAKicks from yesterday’s #NBAXmas action!
6730,?? The sounds of #NBAXmas! ????
6731,"The @warriors, @sixers, @washwizards, @okcthunder and @timberwolves each pick up #NBAXmas wins today!"
6732,#BBQChickenAlert
6733,@1tylerennis spins & finds @juliusrandle30!
6734,@karltowns rolls for the MONSTER SLAM!
6735,"""It's an unbelievable Christmas for me. The best one I could ask for!” @russwest44 #NBAXmas"
6736,@karltowns #NBAXmas #NBAKicks! ??
6737,"Rocking the festive #NBAKicks, @karltowns warms up for @timberwolves #NBAXmas in LA!"
6738,@lakers rook @kuzmakyle gets loose for tonight’s #NBAXmas nightcap in LA on TNT!
6739,@kyrieirving breaks out the handles! #NBAXmas
6740,@kyrieirving mic’d up in Boston! #NBAXmas
6741,@money23green becomes the sixth player in @nbahistory to record an #NBAXmas triple-double!
6742,@andre takes it strong in transition! #NBAXmas #NBAonABC
6743,#NBAXmas in Oakland!
6744,Here They Come! #NBAXmas
6745,It’s GAMETIME! #NBAonABC #NBAXmas
6746,@kingjames’s #NBAXmas #NBAKicks!
6747,@dwyanewade warms up for his first @cavs/@warriors action! #NBAXmas #NBAonABC
6748,@joelembiid with the denial! #NBAXmas
6749,Merry Christmas... Enjoy the ?? of ?? on ?? all day! #NBAXmas
6750,Tell us Who Ya Got to win today with #KiaWhoYaGot + #Sweepstakes for chance to win NBA game tix! #NBAXmas
6751,#NBAXmas ???? is here!
6752,#NBAXmas by the numbers...
6753,"Who did it better, @larrydn7 or @22wiggins? ?? #NBAXmas 12/25 ?? @timberwolves/@lakers
? 10:30pm/et ?? @nbaontnt."
6754,"The masters of the Euro-Step... @JHarden13 and @russwest44! ?? #NBAXmas 12/25 ?? @houstonrockets/@okcthunder
? 8pm/et ?? #NBAonABC"
6755,@kyrieirving with the handles! ?? #NBAXmas 12/25 ?? @washwizards/@celtics ? 5:30pm/et ?? #NBAonABC
6756,7-feet tall... with the moves of a dancer... we showcase @JoelEmbiid's fancy footwork! ?? #NBAXmas 12/25 ?? @sixers/@nyknicks ? 12pm/et ?? @nbaonespn.
6757,"Ahead of Week 11, we check in with the stat leaders for the 2017-18 season!"
6758,26 teams took the floor for an action packed Saturday night!
6759,The TOP #AssistsOfTheWeek... which was your fave?
6760,"@paugasol puts up 14p, 11r, 10a for the triple-double!"
6761,@3jmccollum takes on LA!
6762,Advice for the rook. #ThisIsWhyWePlay
6763,"@russwest44 notches his 11th triple-double of the season (90th career) for the @okcthunder with you 27p, 10r, 10a!"
6764,@jeriangrant beats the buzzer... from his knees!
6765,@ygtrece takes flight for the rejection!
6766,@gmb_chum12 breaks out his handles into the dime!
6767,@dsabonis11 rolls for the VICIOUS SLAM!
6768,"Whoa, @kyrieirving!"
6769,@normanpowell4 throws down the ?? on the @raptors 6th straight W!
6770,"James Harden is the first player to score 1,000 points (1,009) this season."
6771,The last time @kingjames and @dwyanewade played together on Christmas day.... #NBABreakdown (@cavs/@warriors 3pm/et #NBAXmas on ABC)!
6772,"18 teams in action, 9 winners on Friday!"
6773,@jharden13 is the first player with consecutive 50+ point games since @kobebryant had 4 straight in 2007!
6774,@larrydn7 does it again! #LakeShow
6775,@russwest44...for the @okcthunder win! #WhyNot
6776,@boogiecousins rocks the rim in @pelicansnba win! #PosterAlert
6777,@pushat305 dances his way to the rim for @miamiheat!
6778,@jharden13 caps a 20 point first quarter in style!
6779,‘Tis the Holiday season! @jrue_holiday11 gets in the lane!
6780,@rajonrondo gets crafty with the behind the back dish!
6781,NBA league-leading scorer @jharden13 (31.9 PPG) goes through his pregame warmup before action on @ESPN!
6782,Listen in as @kingjames was mic’d up in the @cavs victory!
6783,The @cavs @raptors @nyknicks @utahjazz & @suns are each victorious on Thursday!
6784,@teamslowmo goes up and under for the @spurs to beat the horn!
6785,@demar_derozan puts in six threes en route to his career-high 45!
6786,@jaytatum0 in & out to the bucket @nbaontnt!
6787,@unclejeffgreen steps back to beat the ?? for the @cavs!
6788,@kingjames mic’d up... daddy duties continue mid game! #ThisIsWhyWePlay
6789,"Welcome to the @sixers, Charlie! #ThisIsWhyWePlay"
6790,Great to see @isaiahthomas take the floor with his @cavs teammates! #ThatSLOWgrind
6791,Ahead of tonight's @spurs action (10:30pm/et @nbaontnt... we take a closer look at @manuginobili's recent game-winners! #NBABreakdown
6792,High-flying @jaytatum0 and the @celtics visit the @nyknicks 8pm/et @nbaontnt! #NBABreakdown
6793,#NBAAllStar 2018 Voting is LIVE exclusively on NBA.com (link in bio) and the NBA app! (repost @nbaallstar)
6794,"24 teams, 12 winners in tonight’s action!"
6795,10 straight wins for the @warriors!
6796,@pmccaw0 climbs the ladder for the @warriors!
6797,@milosteodosic4 sees it all!
6798,@zo and the @lakers end the @houstonrockets winning streak.
6799,@jharden13 breaks out his handles to the rim!
6800,Everything’s clicking for the @chicagobulls!
6801,?? Alert! @bennythebull and @zachlavine8 surprise Maria with a new puppy!
6802,"My Goodness, @ygtrece!! #PosterAlert"
6803,@kuzmakyle caps off his 9for9 first half with the oop from @zo!
6804,The @raptors are having fun!
6805,@jcollins20_ knows what to do!
6806,@russwest44 punches it home!
6807,@kyrieirving goes through his legs to set up @guerschony!
6808,@jharden13 sets up @tarikbblack for the SLAM!
6809,Vince is ridiculous ?? (repost @sacramentokings)
6810,@magicjohnson x @imisiahthomas ....via @nbatv #PlayersOnly
6811,@giannis_an34’s hustle seals the @bucks victory!
6812,Whose chasedown was better... @thonmaker or @unclejeffgreen?
6813,Vince Carter tosses it on-point to @gtemp17 for the @sacramentokings bucket!
6814,@ebled2 crashes in for the PUTBACK!
6815,@bensimmons finds @atf_33 with the slick dime!
6816,@fmason0 elevates for the @sacramentokings swat!
6817,@kingjames & the @cavs take the floor looking for their 19th win in 20 games.. facing @giannis_an34 & the @bucks on @nbatv!
6818,The Greek Freak ???? @giannis_an34 goes through his pregame warmup... for @bucks / @cavs on @nbatv! #FearTheDeer ??
6819,#Ko8e24 #ThisIsWhyWePlay
6820,MAGIC x KOBE! #ko8e24
6821,"@kobebryant’s big night, through the ?? lens of @adbphotoinc! #ko8e24 #ThisIsWhyWePlay"
6822,20 teams hit the floor in Monday night’s action!
6823,@kevinhart4real & @enikonhart check in from the #ko8e24 ceremony!
6824,@theofficialai3 x @kobebryant! #ko8e24
6825,The Bryants! #ko8e24 #ThisIsWhyWePlay
6826,@lakers #8 and #24 hang in the @staplescenterla rafters! #ko8e24
6827,“Throw that baby down!” @larrydn7 takes flight in LA!
6828,@kobebryant takes the ?? in for tonight’s #ko8e24 ceremony!
6829,@jordanclarksons races all the way to the rim for the SLAM! @kobebryant nods in approval. #ko8e24
6830,@juliusrandle30 to the rack with authority! #LakeShow
6831,Bianka Bryant’s ready to see her father’s jersey retirement ceremony! #ko8e24 #ThisIsWhyWePlay
6832,@pushat305 in traffic!
6833,?? @gmb_chum12 steals it and finishes it for the @celtics win!
6834,Basketball Royalty in attendance for @kobebryant! #ko8e24
6835,@kobebryant arrives for his big night and is greeted by @magicjohnson & Rob Pelinka! #Ko8e24
6836,@jharden13 shakes and bakes into the trey!
6837,@_kw15 works his way through the lane for the @hornets!
6838,@jaytatum0 takes it STRONG for the @celtics!
6839,The TOP #AssistsOfTheWeek... which was your fave?
6840,Countin’ down @kobebryant’s TOP 5 PLAYS wearing #24! #Ko8e24 10:30pm/et @nbatv
6841,"The @lakers will retire @kobebryant’s #8 AND #24 during halftime of tonight’s action... 10:30pm/et @nbatv!
#Ko8e24 #ThisIsWhyWePlay"
6842,"70+ countries. 32 Teams. 1 Global Event.
The NBA’s first-ever global youth basketball tournament for the top boys & girls 14U teams is coming August 2018!
More info: jrnba.com/worldchampionship #JrNBAWorldChampionship (via @jrnba)"
6843,The ?? Gift of ?? Basketball... we're ONE WEEK away from our 5-game #NBAXmas action! #ThisIsWhyWePlay #ImWhy
6844,"Ahead of Week 10, we check in with the stat leaders for the 2017-18 season!"
6845,#Ko8e24 #NBABreakdown... #24 @kobebryant finds creative way to split the double team!
6846,#Ko8e24 #NBABreakdown... #8 @kobebryant won’t be stopped to the rim!
6847,"The @cavs, @pacers, @raptors and @detroitpistons each WIN on Sunday!"
6848,@sacramentokings rook @fmason0 uses his handles to get to the bucket!
6849,@kingjames ?? for two!
6850,@andredrummondd needed to cool off @y0bull following his career-high!
6851,@kingjames ?? @unclejeffgreen!
6852,"@kingjames notches his 3rd straight triple-double, 4th in last 5 games, for the @cavs!"
6853,"Congrats to @KingJames of the @cavs for moving up to 9th on the all-time Field Goals Made list with 10,750! #ThisIsWhyWePlay"
6854,???? Vince Carter receives a standing o in Toronto! ???? #ThisIsWhyWePlay
6855,One clutch shot deserves another!
6856,16 teams hit the floor in tonight’s action!
6857,16 teams hit the floor in Saturday’s NBA action!
6858,@manuginobili to the rim for the @spurs win!
6859,?????????????????????????? straight Ws for the @houstonrockets!
6860,@tarikbblack throws down the MONSTER SLAM for the @houstonrockets!
6861,Congrats to @kingjames for moving up to 6th on the All-Time TRIPLE-DOUBLES list! #ThisIsWhyWePlay
6862,@kyrieirving evades the defense in Memphis!
6863,"Happy Birthday to @3jmccollum’s mother, Kathy! #ThisIsWhyWePlay"
6864,@kingjames notches his 5th triple-double of the season for the @cavs!
6865,@russwest44 splits the double and PUNISHES the rim!
6866,?? @spidadmitchell spins to the rim for the @utahjazz SLAM!
6867,?? How did @kingjames do THAT?!?
6868,Congrats to @cp3 for moving up to 14th on the NBA’s All-Time STEALS list! #ThisIsWhyWePlay
6869,The @nyknicks pay tribute to @okcthunder forward @carmeloanthony!
6870,@carmeloanthony watches his @nyknicks tribute video at @thegarden!
6871,It’s SATURDAY!
6872,"“One of the best games I ever seen, Thunder win 119 to 117” ???? for the @okcthunder/@sixers flow recapping last night’s epic game! ????: @gallo_locknez"
6873,The crunchtime buckets from @okcthunder/@sixers!
6874,22 teams hit the floor around the Association on Friday!
6875,???????????????????????? straight Ws for the @houstonrockets!
6876,"@kyle_lowry7 notches his 11th career triple-double with 10p, 10r, 12a for the @raptors!"
6877,Mike High Basketball... the @nuggets turn defense into offense!
6878,@cp3 with some ? in transition for the @houstonrockets!
6879,@russwest44 with the QUICKNESS AND STRENGTH in triple-OT!
6880,@boogiecousins on the move to the rack!
6881,@joelembiid protects the paint in OT!
6882,@kyrieirving unleashes an array of moves for the @celtics!
6883,@russwest44 notches his 10th triple-double of the season for the @okcthunder!
6884,@russwest44 tosses a pair of oops for the @okcthunder!
6885,The @sixers debut their new Statement uniform!
6886,@kyrieirving’s new #NBAKicks!
6887,@kyle_lowry7 finds his buddy @demar_derozan for the SICK LEFTY OOP!
6888,@deandre RISES UP to catch the oop in D.C.
6889,@markellefultz progressing! #SixersAllAccess
6890,@bensimmons and @joelembiid arrive and prepare for tonight’s @sixers action on @espn! #SixersAllAccess
6891,Coach Brett Brown prepares the @sixers for tonight’s @nbaonespn action 7pm/et vs. @okcthunder! #SixersAllAccess
6892,Gotta leave with a make! #SixersAllAccess
6893,"For Philly!
#ThisIsWhyWePlay
#SixersAllAccess"
6894,???? for the @cavs/@lakers flow! ????: @gallo_locknez
6895,@kevindurant knows where to find @1jordanbell!
6896,Veteran advice for the rook. #ThisIsWhyWePlay
6897,Give it back to him!
6898,"Year 15 x Year 1.
#ThisIsWhyWePlay"
6899,?????? Jokes at Studio J! (repost @nbaontnt)
6900,“Just like they drew it up!”
6901,It’s GOOD!
6902,@kingjames drives to beat the ?? for the @cavs @nbaontnt!
6903,"Following today’s @sixers practice, @bensimmons surprised four families with a shopping spree! #SeasonOfGiving #ThisIsWhyWePlay #SixersAllAccess"
6904,@joelembiid gets buckets! *see more from @sixers practice on our IG story! #SixersAllAccess
6905,It’s not too late to sign up for #NBAFantasy... NBA.com/PlayFantasy
6906,@cp3 in transition to beat the buzzer... twice this week!
6907,18 teams hit the floor around the Association Wednesday night!
6908,?????????????????????? straight Ws for the @houstonrockets!
6909,@cp3 beats the first quarter ?? @nbaonespn!
6910,@boogiecousins hammers home the putback!
6911,@dwighthoward in transition @nbaonespn!
6912,Mutual Respect. #ThisIsWhyWePlay
6913,Can’t forget the little guys! #ThisIsWhyWePlay
6914,Not in @johnwall’s house!
6915,@russwest44 has notched his 9th triple-double of the season for the @okcthunder!
6916,@ygtrece’s Nike PG1 Wild West PE #NBAKicks! Available tomorrow @footlocker #HouseofHoops in Harlem and OKC.
6917,@treylyles takes it STRONG for the @nuggets! #PosterAlert
6918,@stephensonlance beats the ?? for the @pacers @nbaonespn!
6919,@ygtrece warms up for his first return to Indiana as a member of the @okcthunder... coming up on @ESPN!
6920,"Indianapolis to host @nbaallstar 2021!
The 70th annual game will take place at the home of the @Pacers, on Sunday, Feb. 14, 2021."
6921,Indiana moves the ball to create the bucket! #NBABreakdown ??@okcthunder/@pacers ?7pm/et ??@nbaonespn
6922,Beautiful moment in New Orleans as @antdavis23 surprised a local family with ?? AND a new ??! #SeasonOfGiving #ThisIsWhyWePlay
6923,"Finishing with 37 points, 11 rebounds, 5 blocks and 5 threes... @kporzee becomes the first player in @nbahistory with at least 35/10/5/5 in those categories!"
6924,A few of his best dishes... as @kingjames ties his career-high with 17 assists!
6925,7 winners in tonight’s NBA action!
6926,@jimmybutler buries a pair of clutch triples for the @timberwolves!
6927,@joelembiid is 7 feet tall!
6928,"Welcome Home, Sergeant Sullivan! #ThisIsWhyWePlay #HoopsForTroops"
6929,"Kawhi Leonard, so smooth!"
6930,@kporzee puts it on the floor for the clutch @nyknicks bucket! #PhantomCam
6931,?? 37/11 & the W! ??
6932,? That was magical! ?
6933,Kawhi’s BACK!
6934,@zo gets UP at The Garden!
6935,@teamswish sets up @kingjames for the @cavs SLAM!
6936,The ageless Vince Carter gets loose for the @sacramentokings!
6937,@magicjohnson x @obj! #NBACelebRow
6938,"@zo (8.6ppg, 7.1apg, 6.8rpg) hits the floor at MSG to warm up for tonight’s @lakers action 7pm/et @nbaonespn!"
6939,The ?? on both ends! #NBABreakdown ....@kporzee & the @nyknicks host @lakers 7pm/et @nbaonespn!
6940,Monday night’s winners!
6941,You have some competition!
6942,"#GrindCity legend!
cc: @marcgasol"
6943,"“When the big man runs, you reward him!”"
6944,@jharden13 ????????????
6945,???????????????????? straight Ws for the @houstonrockets!
6946,"@rajonrondo notches his 30th career triple-double with 13p, 12a, 12r for the @pelicansnba!"
6947,"“Alley-oop, again!” ?? @jharden13 finds @ccapela15 FIVE times in the first half!"
6948,What a move by @cp3!
6949,@russwest44 with the THUNDEROUS SLAM!
6950,@ygtrece creates space for the triple!
6951,The TOP #AssistsOfTheWeek... which was your fave?
6952,"As Week 9 tips off, we check in with the stat leaders for the 2017-18 season!"
6953,????Two weeks out... which #NBAXmas game are YOU most looking forward to?
6954,"The @pacers, @nyknicks, @celtics, @pelicansnba, @raptors and @timberwolves each WIN on Sunday!"
6955,A special night for Kevin Thompson! #ThisIsWhyWePlay
6956,Creating & devastating... @jarrettjack03 sets up @kporzee!
6957,@bensimmons’ been working on that one!
6958,@35_fitz erases it for the @sixers!
6959,A new career-high 47 (32 in the second-half) for @vicoladipo in the @pacers’ 4th straight W! #feathery
6960,David Turner liked that one by his son @turner_myles! #ThisIsWhyWePlay
6961,@bobimarjanovic13 dishes out of the double-team!
6962,@semiojeleye37’s move or the @celtics bench reaction??
6963,?? We need more @jdmccrary! ??
6964,"20 teams in action, 10 winners on a busy Saturday night around the Association!"
6965,@kingjames scored or assisted on the @cavs’ final 22 points!
6966,The @houstonrockets improve to 12-1 on the road! #ThisIsWhyWePlay
6967,?????????????????? straight Ws for the @houstonrockets!
6968,@jharden13???? to the rim for the @houstonrockets!
6969,"@russwest44 notches his 8th triple-double of the season for the @okcthunder with 20p, 14a, 11r!"
6970,"@giannis_an34 off the dribble, WITH AUTHORITY!"
6971,Poetry in Motion... @bensimmons to the rack! #PhantomCam
6972,"@kingjames has recorded his 3rd triple-double of the season for the @cavs with 29p, 12r, 11a!"
6973,@frank_ntilikina know where to find @kporzee!
6974,Bron x Ben.
6975,Ryan Anderson from the bench!
6976,@bensimmons finds @atf_33 with a lil wizardry!
6977,@_kw15 gets to the bucket for the @hornets!
6978,The future.... Jaiden x @isaiahthomas!  #ThisIsWhyWePlay
6979,"For Bronny, Bryce and Zhuri! #ThisIsWhyWePlay #NBAKicks"
6980,@louwillville for the @laclippers win!
6981,"@manuginobili’s @spurs winner, as heard around the world! #GlobalGame????"
6982,@vicoladipo’s clutch triples lead the @pacers to W in last two!
